Sourcefile	20160324 171729 Dosing_12CO_13CO.qmp
Exporttime	3/24/2016 06:00:12.921 PM

Start Time	3/24/2016 05:23:31.820 PM
End Time	3/24/2016 06:00:06.853 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/24/2016 5:23:53 PM	21.792	6.184899e-013	3/24/2016 5:23:53 PM	22.008	2.744784e-013	3/24/2016 5:23:54 PM	22.229	2.409704e-013	3/24/2016 5:23:54 PM	22.444	1.257621e-012	3/24/2016 5:23:54 PM	22.659	3.373242e-012	3/24/2016 5:23:54 PM	22.885	6.415942e-013	3/24/2016 5:23:54 PM	23.106	9.878146e-013
3/24/2016 5:23:55 PM	23.335	5.573969e-013	3/24/2016 5:23:55 PM	23.550	2.516367e-013	3/24/2016 5:23:55 PM	23.766	2.813262e-013	3/24/2016 5:23:55 PM	23.980	1.175039e-012	3/24/2016 5:23:56 PM	24.196	3.268217e-012	3/24/2016 5:23:56 PM	24.423	5.645364e-013	3/24/2016 5:23:56 PM	24.647	8.532832e-013
3/24/2016 5:23:56 PM	24.870	6.454911e-013	3/24/2016 5:23:56 PM	25.084	2.677822e-013	3/24/2016 5:23:57 PM	25.299	2.395569e-013	3/24/2016 5:23:57 PM	25.532	1.230075e-012	3/24/2016 5:23:57 PM	25.747	3.338571e-012	3/24/2016 5:23:57 PM	25.969	6.015832e-013	3/24/2016 5:23:58 PM	26.191	1.001711e-012
3/24/2016 5:23:58 PM	26.411	6.859382e-013	3/24/2016 5:23:58 PM	26.627	2.547502e-013	3/24/2016 5:23:58 PM	26.844	2.771560e-013	3/24/2016 5:23:58 PM	27.069	1.277754e-012	3/24/2016 5:23:59 PM	27.285	3.295401e-012	3/24/2016 5:23:59 PM	27.500	5.684018e-013	3/24/2016 5:23:59 PM	27.725	9.580788e-013
3/24/2016 5:23:59 PM	27.949	6.282337e-013	3/24/2016 5:23:59 PM	28.164	2.691970e-013	3/24/2016 5:24:00 PM	28.384	2.622360e-013	3/24/2016 5:24:00 PM	28.612	1.167665e-012	3/24/2016 5:24:00 PM	28.826	3.337225e-012	3/24/2016 5:24:00 PM	29.048	6.390407e-013	3/24/2016 5:24:01 PM	29.275	9.430369e-013
3/24/2016 5:24:01 PM	29.508	5.328733e-013	3/24/2016 5:24:01 PM	29.730	2.709260e-013	3/24/2016 5:24:01 PM	29.951	2.661880e-013	3/24/2016 5:24:01 PM	30.173	1.177486e-012	3/24/2016 5:24:02 PM	30.388	3.412010e-012	3/24/2016 5:24:02 PM	30.625	6.261725e-013	3/24/2016 5:24:02 PM	30.846	9.821027e-013
3/24/2016 5:24:02 PM	31.068	5.984315e-013	3/24/2016 5:24:03 PM	31.283	2.597429e-013	3/24/2016 5:24:03 PM	31.498	2.586648e-013	3/24/2016 5:24:03 PM	31.720	1.191891e-012	3/24/2016 5:24:03 PM	31.935	3.285718e-012	3/24/2016 5:24:03 PM	32.160	5.879253e-013	3/24/2016 5:24:04 PM	32.381	9.469986e-013
3/24/2016 5:24:04 PM	32.604	6.150046e-013	3/24/2016 5:24:04 PM	32.819	2.908887e-013	3/24/2016 5:24:04 PM	33.043	2.426979e-013	3/24/2016 5:24:05 PM	33.262	1.280160e-012	3/24/2016 5:24:05 PM	33.476	3.341854e-012	3/24/2016 5:24:05 PM	33.699	6.649640e-013	3/24/2016 5:24:05 PM	33.925	8.359217e-013
3/24/2016 5:24:05 PM	34.146	5.409985e-013	3/24/2016 5:24:06 PM	34.362	2.773414e-013	3/24/2016 5:24:06 PM	34.578	2.339695e-013	3/24/2016 5:24:06 PM	34.796	1.224651e-012	3/24/2016 5:24:06 PM	35.012	3.340704e-012	3/24/2016 5:24:07 PM	35.234	6.111872e-013	3/24/2016 5:24:07 PM	35.459	1.016396e-012
3/24/2016 5:24:07 PM	35.692	5.967225e-013	3/24/2016 5:24:07 PM	35.906	2.614089e-013	3/24/2016 5:24:07 PM	36.121	2.734673e-013	3/24/2016 5:24:08 PM	36.337	1.187483e-012	3/24/2016 5:24:08 PM	36.551	3.314961e-012	3/24/2016 5:24:08 PM	36.781	6.654965e-013	3/24/2016 5:24:08 PM	37.009	9.632497e-013
3/24/2016 5:24:09 PM	37.230	5.221408e-013	3/24/2016 5:24:09 PM	37.454	2.731287e-013	3/24/2016 5:24:09 PM	37.674	2.565655e-013	3/24/2016 5:24:09 PM	37.891	1.154926e-012	3/24/2016 5:24:09 PM	38.105	3.304305e-012	3/24/2016 5:24:10 PM	38.334	6.027194e-013	3/24/2016 5:24:10 PM	38.554	8.910879e-013
