Sourcefile	20160325 134535 Dosing_12CO_13CO.qmp
Exporttime	3/25/2016 02:07:10.661 PM

Start Time	3/25/2016 01:50:22.070 PM
End Time	3/25/2016 02:06:41.544 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/25/2016 1:50:43 PM	21.768	4.095487e-013	3/25/2016 1:50:44 PM	21.984	1.367000e-013	3/25/2016 1:50:44 PM	22.200	1.491328e-013	3/25/2016 1:50:44 PM	22.428	5.636266e-013	3/25/2016 1:50:44 PM	22.642	1.717609e-012	3/25/2016 1:50:44 PM	22.858	1.598847e-013	3/25/2016 1:50:45 PM	23.080	2.819698e-013
3/25/2016 1:50:45 PM	23.310	3.904626e-013	3/25/2016 1:50:45 PM	23.525	1.252999e-013	3/25/2016 1:50:45 PM	23.741	1.656098e-013	3/25/2016 1:50:46 PM	23.959	5.079124e-013	3/25/2016 1:50:46 PM	24.183	1.712780e-012	3/25/2016 1:50:46 PM	24.404	1.653866e-013	3/25/2016 1:50:46 PM	24.623	2.668263e-013
3/25/2016 1:50:46 PM	24.847	3.475267e-013	3/25/2016 1:50:47 PM	25.067	1.371568e-013	3/25/2016 1:50:47 PM	25.287	1.537887e-013	3/25/2016 1:50:47 PM	25.508	4.940777e-013	3/25/2016 1:50:47 PM	25.722	1.648284e-012	3/25/2016 1:50:48 PM	25.937	1.720595e-013	3/25/2016 1:50:48 PM	26.151	2.534062e-013
3/25/2016 1:50:48 PM	26.375	3.893865e-013	3/25/2016 1:50:48 PM	26.594	1.269569e-013	3/25/2016 1:50:48 PM	26.809	1.565041e-013	3/25/2016 1:50:49 PM	27.030	5.442995e-013	3/25/2016 1:50:49 PM	27.246	1.601164e-012	3/25/2016 1:50:49 PM	27.460	1.668383e-013	3/25/2016 1:50:49 PM	27.674	2.688732e-013
3/25/2016 1:50:49 PM	27.893	4.359308e-013	3/25/2016 1:50:50 PM	28.108	1.368312e-013	3/25/2016 1:50:50 PM	28.324	1.497811e-013	3/25/2016 1:50:50 PM	28.550	5.345965e-013	3/25/2016 1:50:50 PM	28.766	1.683575e-012	3/25/2016 1:50:51 PM	28.986	1.744248e-013	3/25/2016 1:50:51 PM	29.205	2.467322e-013
3/25/2016 1:50:51 PM	29.431	4.022744e-013	3/25/2016 1:50:51 PM	29.646	1.274296e-013	3/25/2016 1:50:51 PM	29.860	1.645885e-013	3/25/2016 1:50:52 PM	30.084	6.203467e-013	3/25/2016 1:50:52 PM	30.298	1.605472e-012	3/25/2016 1:50:52 PM	30.513	1.619304e-013	3/25/2016 1:50:52 PM	30.727	2.680781e-013
3/25/2016 1:50:53 PM	30.953	4.014070e-013	3/25/2016 1:50:53 PM	31.167	1.281382e-013	3/25/2016 1:50:53 PM	31.382	1.600820e-013	3/25/2016 1:50:53 PM	31.598	5.204850e-013	3/25/2016 1:50:53 PM	31.817	1.608501e-012	3/25/2016 1:50:54 PM	32.031	1.613655e-013	3/25/2016 1:50:54 PM	32.247	2.658368e-013
3/25/2016 1:50:54 PM	32.469	3.830439e-013	3/25/2016 1:50:54 PM	32.683	1.337409e-013	3/25/2016 1:50:54 PM	32.899	1.779068e-013	3/25/2016 1:50:55 PM	33.116	5.300643e-013	3/25/2016 1:50:55 PM	33.331	1.567270e-012	3/25/2016 1:50:55 PM	33.555	1.561613e-013	3/25/2016 1:50:55 PM	33.779	2.868419e-013
3/25/2016 1:50:56 PM	33.999	3.819341e-013	3/25/2016 1:50:56 PM	34.215	1.256770e-013	3/25/2016 1:50:56 PM	34.431	1.537033e-013	3/25/2016 1:50:56 PM	34.653	4.707403e-013	3/25/2016 1:50:56 PM	34.874	1.654408e-012	3/25/2016 1:50:57 PM	35.087	1.745977e-013	3/25/2016 1:50:57 PM	35.303	2.813203e-013
3/25/2016 1:50:57 PM	35.526	3.623568e-013	3/25/2016 1:50:57 PM	35.741	1.407439e-013	3/25/2016 1:50:58 PM	35.956	1.537884e-013	3/25/2016 1:50:58 PM	36.177	5.178037e-013	3/25/2016 1:50:58 PM	36.392	1.651291e-012	3/25/2016 1:50:58 PM	36.607	1.463898e-013	3/25/2016 1:50:58 PM	36.823	2.677625e-013
3/25/2016 1:50:59 PM	37.052	3.801731e-013	3/25/2016 1:50:59 PM	37.268	1.248168e-013	3/25/2016 1:50:59 PM	37.489	1.594494e-013	3/25/2016 1:50:59 PM	37.711	5.681376e-013	3/25/2016 1:51:00 PM	37.933	1.529767e-012	3/25/2016 1:51:00 PM	38.155	1.651275e-013	3/25/2016 1:51:00 PM	38.371	2.743741e-013
3/25/2016 1:51:00 PM	38.596	3.274386e-013	3/25/2016 1:51:00 PM	38.825	1.381593e-013	3/25/2016 1:51:01 PM	39.040	1.450504e-013	3/25/2016 1:51:01 PM	39.259	5.220242e-013	3/25/2016 1:51:01 PM	39.475	1.581386e-012	3/25/2016 1:51:01 PM	39.697	1.697910e-013	3/25/2016 1:51:01 PM	39.912	2.346785e-013
3/25/2016 1:51:02 PM	40.136	3.471720e-013	3/25/2016 1:51:02 PM	40.351	1.387826e-013	3/25/2016 1:51:02 PM	40.565	1.455926e-013	3/25/2016 1:51:02 PM	40.787	5.088055e-013	3/25/2016 1:51:03 PM	41.002	1.603700e-012	3/25/2016 1:51:03 PM	41.216	1.650210e-013	3/25/2016 1:51:03 PM	41.437	2.790508e-013
3/25/2016 1:51:03 PM	41.657	3.979002e-013	3/25/2016 1:51:03 PM	41.872	1.355369e-013	3/25/2016 1:51:04 PM	42.095	1.604682e-013	3/25/2016 1:51:04 PM	42.322	4.980728e-013	3/25/2016 1:51:04 PM	42.537	1.523387e-012	3/25/2016 1:51:04 PM	42.751	1.687878e-013	3/25/2016 1:51:05 PM	42.966	2.648775e-013
3/25/2016 1:51:05 PM	43.194	4.050360e-013	3/25/2016 1:51:05 PM	43.409	1.334229e-013	3/25/2016 1:51:05 PM	43.623	1.444126e-013	3/25/2016 1:51:05 PM	43.847	5.157165e-013	3/25/2016 1:51:06 PM	44.063	1.552484e-012	3/25/2016 1:51:06 PM	44.278	1.734788e-013	3/25/2016 1:51:06 PM	44.494	2.491393e-013
3/25/2016 1:51:06 PM	44.722	3.757853e-013	3/25/2016 1:51:07 PM	44.937	1.309196e-013	3/25/2016 1:51:07 PM	45.153	1.491303e-013	3/25/2016 1:51:07 PM	45.373	4.825293e-013	3/25/2016 1:51:07 PM	45.589	1.494659e-012	3/25/2016 1:51:07 PM	45.805	1.512443e-013	3/25/2016 1:51:08 PM	46.019	2.919630e-013
3/25/2016 1:51:08 PM	46.241	3.604604e-013	3/25/2016 1:51:08 PM	46.457	1.321765e-013	3/25/2016 1:51:08 PM	46.671	1.518190e-013	3/25/2016 1:51:08 PM	46.895	5.626263e-013	3/25/2016 1:51:09 PM	47.111	1.541460e-012	3/25/2016 1:51:09 PM	47.332	1.650775e-013	3/25/2016 1:51:09 PM	47.548	2.513958e-013
3/25/2016 1:51:09 PM	47.776	3.829971e-013	3/25/2016 1:51:10 PM	47.994	1.313453e-013	3/25/2016 1:51:10 PM	48.209	1.566782e-013	3/25/2016 1:51:10 PM	48.436	5.178062e-013	3/25/2016 1:51:10 PM	48.650	1.604273e-012	3/25/2016 1:51:10 PM	48.866	1.810380e-013	3/25/2016 1:51:11 PM	49.081	3.016607e-013
3/25/2016 1:51:11 PM	49.302	3.860573e-013	3/25/2016 1:51:11 PM	49.517	1.379234e-013	3/25/2016 1:51:11 PM	49.731	1.818127e-013	3/25/2016 1:51:12 PM	49.948	5.279701e-013	3/25/2016 1:51:12 PM	50.163	1.530400e-012	3/25/2016 1:51:12 PM	50.379	1.598895e-013	3/25/2016 1:51:12 PM	50.595	2.754187e-013
3/25/2016 1:51:12 PM	50.817	3.801614e-013	3/25/2016 1:51:13 PM	51.032	1.339372e-013	3/25/2016 1:51:13 PM	51.254	1.378091e-013	3/25/2016 1:51:13 PM	51.470	4.912491e-013	3/25/2016 1:51:13 PM	51.685	1.522949e-012	3/25/2016 1:51:13 PM	51.904	1.710852e-013	3/25/2016 1:51:14 PM	52.117	2.876289e-013
3/25/2016 1:51:14 PM	52.342	3.849569e-013	3/25/2016 1:51:14 PM	52.557	1.285345e-013	3/25/2016 1:51:14 PM	52.773	1.548285e-013	3/25/2016 1:51:15 PM	53.000	4.973420e-013	3/25/2016 1:51:15 PM	53.215	1.604741e-012	3/25/2016 1:51:15 PM	53.429	1.665549e-013	3/25/2016 1:51:15 PM	53.644	2.705358e-013
3/25/2016 1:51:15 PM	53.873	3.771306e-013	3/25/2016 1:51:16 PM	54.089	1.296763e-013	3/25/2016 1:51:16 PM	54.304	1.736064e-013	3/25/2016 1:51:16 PM	54.528	4.946030e-013	3/25/2016 1:51:16 PM	54.744	1.588994e-012	3/25/2016 1:51:17 PM	54.959	1.647109e-013	3/25/2016 1:51:17 PM	55.181	2.823825e-013
3/25/2016 1:51:17 PM	55.404	4.274121e-013	3/25/2016 1:51:17 PM	55.619	1.386612e-013	3/25/2016 1:51:17 PM	55.833	1.564547e-013	3/25/2016 1:51:18 PM	56.061	5.822954e-013	3/25/2016 1:51:18 PM	56.284	1.527935e-012	3/25/2016 1:51:18 PM	56.499	1.543633e-013	3/25/2016 1:51:18 PM	56.718	2.920198e-013
3/25/2016 1:51:19 PM	56.947	3.872517e-013	3/25/2016 1:51:19 PM	57.162	1.349429e-013	3/25/2016 1:51:19 PM	57.378	1.518186e-013	3/25/2016 1:51:19 PM	57.602	5.227691e-013	3/25/2016 1:51:19 PM	57.821	1.591327e-012	3/25/2016 1:51:20 PM	58.035	1.501560e-013	3/25/2016 1:51:20 PM	58.248	2.864210e-013
3/25/2016 1:51:20 PM	58.478	3.710613e-013	3/25/2016 1:51:20 PM	58.693	1.305294e-013	3/25/2016 1:51:20 PM	58.908	1.493584e-013	3/25/2016 1:51:21 PM	59.129	5.261876e-013	3/25/2016 1:51:21 PM	59.344	1.556698e-012	3/25/2016 1:51:21 PM	59.559	1.652409e-013	3/25/2016 1:51:21 PM	59.775	2.882160e-013
3/25/2016 1:51:22 PM	60.005	3.903112e-013	3/25/2016 1:51:22 PM	60.220	1.441932e-013	3/25/2016 1:51:22 PM	60.436	1.517505e-013	3/25/2016 1:51:22 PM	60.657	5.611063e-013	3/25/2016 1:51:22 PM	60.873	1.570470e-012	3/25/2016 1:51:23 PM	61.087	1.553906e-013	3/25/2016 1:51:23 PM	61.304	2.657576e-013
3/25/2016 1:51:23 PM	61.526	3.572432e-013	3/25/2016 1:51:23 PM	61.749	1.302275e-013	3/25/2016 1:51:24 PM	61.963	1.619028e-013	3/25/2016 1:51:24 PM	62.191	4.748968e-013	3/25/2016 1:51:24 PM	62.409	1.497638e-012	3/25/2016 1:51:24 PM	62.628	1.565389e-013	3/25/2016 1:51:24 PM	62.855	2.822468e-013
3/25/2016 1:51:25 PM	63.084	3.953625e-013	3/25/2016 1:51:25 PM	63.299	1.352375e-013	3/25/2016 1:51:25 PM	63.514	1.651168e-013	3/25/2016 1:51:25 PM	63.740	5.158155e-013	3/25/2016 1:51:26 PM	63.958	1.567814e-012	3/25/2016 1:51:26 PM	64.172	1.585966e-013	3/25/2016 1:51:26 PM	64.394	2.879333e-013
3/25/2016 1:51:26 PM	64.615	4.045617e-013	3/25/2016 1:51:26 PM	64.831	1.219339e-013	3/25/2016 1:51:27 PM	65.047	1.548659e-013	3/25/2016 1:51:27 PM	65.270	4.944068e-013	3/25/2016 1:51:27 PM	65.484	1.608097e-012	3/25/2016 1:51:27 PM	65.698	1.556502e-013	3/25/2016 1:51:27 PM	65.913	3.192884e-013
3/25/2016 1:51:28 PM	66.143	3.675252e-013	3/25/2016 1:51:28 PM	66.358	1.489980e-013	3/25/2016 1:51:28 PM	66.573	1.700394e-013	3/25/2016 1:51:28 PM	66.798	5.044853e-013	3/25/2016 1:51:29 PM	67.013	1.534335e-012	3/25/2016 1:51:29 PM	67.228	1.629807e-013	3/25/2016 1:51:29 PM	67.450	2.755374e-013
3/25/2016 1:51:29 PM	67.674	3.784328e-013	3/25/2016 1:51:29 PM	67.888	1.252802e-013	3/25/2016 1:51:30 PM	68.104	1.419035e-013	3/25/2016 1:51:30 PM	68.326	5.307281e-013	3/25/2016 1:51:30 PM	68.542	1.529629e-012	3/25/2016 1:51:30 PM	68.757	1.528922e-013	3/25/2016 1:51:31 PM	68.971	3.041176e-013
3/25/2016 1:51:31 PM	69.192	3.766843e-013	3/25/2016 1:51:31 PM	69.408	1.406233e-013	3/25/2016 1:51:31 PM	69.623	1.519107e-013	3/25/2016 1:51:31 PM	69.842	5.894319e-013	3/25/2016 1:51:32 PM	70.066	1.620329e-012	3/25/2016 1:51:32 PM	70.286	1.488838e-013	3/25/2016 1:51:32 PM	70.508	2.974355e-013
3/25/2016 1:51:32 PM	70.723	4.158275e-013	3/25/2016 1:51:33 PM	70.938	1.198241e-013	3/25/2016 1:51:33 PM	71.153	1.494988e-013	3/25/2016 1:51:33 PM	71.374	5.323079e-013	3/25/2016 1:51:33 PM	71.590	1.557176e-012	3/25/2016 1:51:33 PM	71.806	1.586628e-013	3/25/2016 1:51:34 PM	72.021	2.992525e-013
3/25/2016 1:51:34 PM	72.242	3.899688e-013	3/25/2016 1:51:34 PM	72.458	1.304660e-013	3/25/2016 1:51:34 PM	72.671	1.526170e-013	3/25/2016 1:51:34 PM	72.893	4.963963e-013	3/25/2016 1:51:35 PM	73.108	1.602772e-012	3/25/2016 1:51:35 PM	73.323	1.922142e-013	3/25/2016 1:51:35 PM	73.539	3.028537e-013
3/25/2016 1:51:35 PM	73.753	3.987454e-013	3/25/2016 1:51:36 PM	73.969	1.299567e-013	3/25/2016 1:51:36 PM	74.189	1.529585e-013	3/25/2016 1:51:36 PM	74.412	5.213315e-013	3/25/2016 1:51:36 PM	74.628	1.547861e-012	3/25/2016 1:51:36 PM	74.842	1.508365e-013	3/25/2016 1:51:37 PM	75.064	3.204084e-013
3/25/2016 1:51:37 PM	75.296	3.731103e-013	3/25/2016 1:51:37 PM	75.512	1.149587e-013	3/25/2016 1:51:37 PM	75.727	1.416106e-013	3/25/2016 1:51:38 PM	75.958	4.568988e-013	3/25/2016 1:51:38 PM	76.173	1.628613e-012	3/25/2016 1:51:38 PM	76.388	1.625885e-013	3/25/2016 1:51:38 PM	76.603	2.820113e-013
3/25/2016 1:51:38 PM	76.830	3.804221e-013	3/25/2016 1:51:39 PM	77.045	1.305839e-013	3/25/2016 1:51:39 PM	77.260	1.614829e-013	3/25/2016 1:51:39 PM	77.486	5.523912e-013	3/25/2016 1:51:39 PM	77.700	1.570363e-012	3/25/2016 1:51:39 PM	77.924	1.721215e-013	3/25/2016 1:51:40 PM	78.146	2.888869e-013
3/25/2016 1:51:40 PM	78.370	3.596608e-013	3/25/2016 1:51:40 PM	78.584	1.253274e-013	3/25/2016 1:51:40 PM	78.800	1.554745e-013	3/25/2016 1:51:41 PM	79.026	5.452347e-013	3/25/2016 1:51:41 PM	79.247	1.581273e-012	3/25/2016 1:51:41 PM	79.462	1.680228e-013	3/25/2016 1:51:41 PM	79.677	3.076140e-013
3/25/2016 1:51:41 PM	79.907	3.757345e-013	3/25/2016 1:51:42 PM	80.121	1.316312e-013	3/25/2016 1:51:42 PM	80.336	1.682747e-013	3/25/2016 1:51:42 PM	80.562	5.295416e-013	3/25/2016 1:51:42 PM	80.777	1.542526e-012	3/25/2016 1:51:43 PM	80.991	1.792519e-013	3/25/2016 1:51:43 PM	81.206	2.953495e-013
3/25/2016 1:51:43 PM	81.432	3.728060e-013	3/25/2016 1:51:43 PM	81.648	1.242169e-013	3/25/2016 1:51:43 PM	81.863	1.554088e-013	3/25/2016 1:51:44 PM	82.083	5.330164e-013	3/25/2016 1:51:44 PM	82.297	1.585210e-012	3/25/2016 1:51:44 PM	82.518	1.466669e-013	3/25/2016 1:51:44 PM	82.741	2.961071e-013
3/25/2016 1:51:45 PM	82.963	4.026119e-013	3/25/2016 1:51:45 PM	83.179	1.286333e-013	3/25/2016 1:51:45 PM	83.394	1.468030e-013	3/25/2016 1:51:45 PM	83.614	4.793966e-013	3/25/2016 1:51:45 PM	83.829	1.593195e-012	3/25/2016 1:51:46 PM	84.049	1.579325e-013	3/25/2016 1:51:46 PM	84.265	2.990626e-013
3/25/2016 1:51:46 PM	84.496	3.886762e-013	3/25/2016 1:51:46 PM	84.711	1.373673e-013	3/25/2016 1:51:46 PM	84.926	1.456161e-013	3/25/2016 1:51:47 PM	85.142	5.340725e-013	3/25/2016 1:51:47 PM	85.358	1.634770e-012	3/25/2016 1:51:47 PM	85.573	1.744903e-013	3/25/2016 1:51:47 PM	85.787	3.184507e-013
3/25/2016 1:51:48 PM	86.017	3.630398e-013	3/25/2016 1:51:48 PM	86.234	1.335074e-013	3/25/2016 1:51:48 PM	86.457	1.491724e-013	3/25/2016 1:51:48 PM	86.678	5.331090e-013	3/25/2016 1:51:48 PM	86.893	1.580980e-012	3/25/2016 1:51:49 PM	87.115	1.634416e-013	3/25/2016 1:51:49 PM	87.342	2.863991e-013
