Sourcefile	20160329 151018 Dosing_12CO_13CO.qmp
Exporttime	3/29/2016 04:33:59.090 PM

Start Time	3/29/2016 03:22:29.453 PM
End Time	3/29/2016 04:33:52.017 PM

		12C			13C			14N			H2O			CO/N2			13CO			CO2	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
3/29/2016 3:22:50 PM	21.477	7.056862e-013	3/29/2016 3:22:51 PM	21.692	2.060568e-013	3/29/2016 3:22:51 PM	21.908	2.396069e-013	3/29/2016 3:22:51 PM	22.122	2.596123e-012	3/29/2016 3:22:51 PM	22.337	3.621618e-012	3/29/2016 3:22:52 PM	22.552	2.616558e-013	3/29/2016 3:22:52 PM	22.772	1.216849e-012
3/29/2016 3:22:52 PM	22.997	7.012323e-013	3/29/2016 3:22:52 PM	23.216	2.139592e-013	3/29/2016 3:22:52 PM	23.431	2.568805e-013	3/29/2016 3:22:53 PM	23.645	2.630529e-012	3/29/2016 3:22:53 PM	23.860	3.684166e-012	3/29/2016 3:22:53 PM	24.081	2.518814e-013	3/29/2016 3:22:53 PM	24.300	1.208099e-012
3/29/2016 3:22:53 PM	24.528	7.813060e-013	3/29/2016 3:22:54 PM	24.742	2.090599e-013	3/29/2016 3:22:54 PM	24.956	2.371670e-013	3/29/2016 3:22:54 PM	25.170	2.535412e-012	3/29/2016 3:22:54 PM	25.383	3.740169e-012	3/29/2016 3:22:55 PM	25.597	2.713255e-013	3/29/2016 3:22:55 PM	25.819	1.228634e-012
3/29/2016 3:22:55 PM	26.043	8.249196e-013	3/29/2016 3:22:55 PM	26.257	2.051944e-013	3/29/2016 3:22:55 PM	26.470	2.398186e-013	3/29/2016 3:22:56 PM	26.684	2.598586e-012	3/29/2016 3:22:56 PM	26.899	3.647853e-012	3/29/2016 3:22:56 PM	27.112	2.438925e-013	3/29/2016 3:22:56 PM	27.327	1.260160e-012
3/29/2016 3:22:57 PM	27.550	7.880869e-013	3/29/2016 3:22:57 PM	27.772	2.203360e-013	3/29/2016 3:22:57 PM	27.989	2.523193e-013	3/29/2016 3:22:57 PM	28.204	2.574193e-012	3/29/2016 3:22:57 PM	28.419	3.585539e-012	3/29/2016 3:22:58 PM	28.639	2.394824e-013	3/29/2016 3:22:58 PM	28.856	1.245142e-012
3/29/2016 3:22:58 PM	29.085	7.244709e-013	3/29/2016 3:22:58 PM	29.301	2.027906e-013	3/29/2016 3:22:58 PM	29.517	2.416197e-013	3/29/2016 3:22:59 PM	29.732	2.542937e-012	3/29/2016 3:22:59 PM	29.947	3.600374e-012	3/29/2016 3:22:59 PM	30.166	2.468258e-013	3/29/2016 3:22:59 PM	30.382	1.218623e-012
3/29/2016 3:23:00 PM	30.613	6.663774e-013	3/29/2016 3:23:00 PM	30.830	2.005645e-013	3/29/2016 3:23:00 PM	31.045	2.717217e-013	3/29/2016 3:23:00 PM	31.260	2.570865e-012	3/29/2016 3:23:00 PM	31.475	3.710434e-012	3/29/2016 3:23:01 PM	31.699	2.571336e-013	3/29/2016 3:23:01 PM	31.921	1.222999e-012
3/29/2016 3:23:01 PM	32.146	7.037226e-013	3/29/2016 3:23:01 PM	32.365	1.919232e-013	3/29/2016 3:23:02 PM	32.580	2.394086e-013	3/29/2016 3:23:02 PM	32.795	2.601922e-012	3/29/2016 3:23:02 PM	33.012	3.621238e-012	3/29/2016 3:23:02 PM	33.227	2.543304e-013	3/29/2016 3:23:02 PM	33.455	1.226711e-012
3/29/2016 3:23:03 PM	33.700	7.790836e-013	3/29/2016 3:23:03 PM	33.916	2.016520e-013	3/29/2016 3:23:03 PM	34.132	2.232287e-013	3/29/2016 3:23:03 PM	34.348	2.465465e-012	3/29/2016 3:23:04 PM	34.564	3.561485e-012	3/29/2016 3:23:04 PM	34.778	2.502473e-013	3/29/2016 3:23:04 PM	34.994	1.200528e-012
3/29/2016 3:23:04 PM	35.222	7.188233e-013	3/29/2016 3:23:04 PM	35.437	1.998267e-013	3/29/2016 3:23:05 PM	35.652	2.643600e-013	3/29/2016 3:23:05 PM	35.867	2.521898e-012	3/29/2016 3:23:05 PM	36.080	3.568633e-012	3/29/2016 3:23:05 PM	36.301	2.486809e-013	3/29/2016 3:23:05 PM	36.532	1.228198e-012
3/29/2016 3:23:06 PM	36.763	7.395603e-013	3/29/2016 3:23:06 PM	36.978	2.015574e-013	3/29/2016 3:23:06 PM	37.197	2.376417e-013	3/29/2016 3:23:06 PM	37.413	2.588921e-012	3/29/2016 3:23:07 PM	37.629	3.479823e-012	3/29/2016 3:23:07 PM	37.854	2.380410e-013	3/29/2016 3:23:07 PM	38.076	1.156429e-012
3/29/2016 3:23:07 PM	38.305	7.201002e-013	3/29/2016 3:23:07 PM	38.519	1.946455e-013	3/29/2016 3:23:08 PM	38.735	2.458677e-013	3/29/2016 3:23:08 PM	38.950	2.576333e-012	3/29/2016 3:23:08 PM	39.166	3.595018e-012	3/29/2016 3:23:08 PM	39.381	2.556367e-013	3/29/2016 3:23:09 PM	39.607	1.162204e-012
3/29/2016 3:23:09 PM	39.833	6.630386e-013	3/29/2016 3:23:09 PM	40.057	2.039929e-013	3/29/2016 3:23:09 PM	40.279	2.452264e-013	3/29/2016 3:23:09 PM	40.494	2.570278e-012	3/29/2016 3:23:10 PM	40.709	3.471971e-012	3/29/2016 3:23:10 PM	40.929	2.378987e-013	3/29/2016 3:23:10 PM	41.156	1.219144e-012
3/29/2016 3:23:10 PM	41.378	7.456531e-013	3/29/2016 3:23:11 PM	41.595	2.011107e-013	3/29/2016 3:23:11 PM	41.811	2.439261e-013	3/29/2016 3:23:11 PM	42.025	2.456457e-012	3/29/2016 3:23:11 PM	42.241	3.426676e-012	3/29/2016 3:23:11 PM	42.456	2.575971e-013	3/29/2016 3:23:12 PM	42.675	1.162059e-012
3/29/2016 3:23:12 PM	42.904	7.313315e-013	3/29/2016 3:23:12 PM	43.119	1.896346e-013	3/29/2016 3:23:12 PM	43.334	2.275284e-013	3/29/2016 3:23:13 PM	43.550	2.454838e-012	3/29/2016 3:23:13 PM	43.765	3.603342e-012	3/29/2016 3:23:13 PM	43.987	2.439584e-013	3/29/2016 3:23:13 PM	44.203	1.150036e-012
3/29/2016 3:23:13 PM	44.432	6.572287e-013	3/29/2016 3:23:14 PM	44.648	1.976681e-013	3/29/2016 3:23:14 PM	44.869	2.431044e-013	3/29/2016 3:23:14 PM	45.086	2.517457e-012	3/29/2016 3:23:14 PM	45.301	3.568479e-012	3/29/2016 3:23:14 PM	45.524	2.626638e-013	3/29/2016 3:23:15 PM	45.744	1.155848e-012
3/29/2016 3:23:15 PM	45.977	7.912626e-013	3/29/2016 3:23:15 PM	46.192	1.911902e-013	3/29/2016 3:23:15 PM	46.408	2.384328e-013	3/29/2016 3:23:16 PM	46.623	2.455611e-012	3/29/2016 3:23:16 PM	46.837	3.537501e-012	3/29/2016 3:23:16 PM	47.053	2.439613e-013	3/29/2016 3:23:16 PM	47.269	1.111204e-012
3/29/2016 3:23:16 PM	47.490	7.088868e-013	3/29/2016 3:23:17 PM	47.709	2.062392e-013	3/29/2016 3:23:17 PM	47.924	2.306443e-013	3/29/2016 3:23:17 PM	48.140	2.582042e-012	3/29/2016 3:23:17 PM	48.355	3.518960e-012	3/29/2016 3:23:18 PM	48.585	2.492774e-013	3/29/2016 3:23:18 PM	48.800	1.137193e-012
3/29/2016 3:23:18 PM	49.021	6.959788e-013	3/29/2016 3:23:18 PM	49.238	2.147346e-013	3/29/2016 3:23:18 PM	49.472	2.463077e-013	3/29/2016 3:23:19 PM	49.687	2.401201e-012	3/29/2016 3:23:19 PM	49.902	3.558440e-012	3/29/2016 3:23:19 PM	50.118	2.407788e-013	3/29/2016 3:23:19 PM	50.347	1.097416e-012
3/29/2016 3:23:20 PM	50.573	7.416329e-013	3/29/2016 3:23:20 PM	50.788	2.160034e-013	3/29/2016 3:23:20 PM	51.004	2.565732e-013	3/29/2016 3:23:20 PM	51.218	2.530829e-012	3/29/2016 3:23:20 PM	51.431	3.490324e-012	3/29/2016 3:23:21 PM	51.651	2.693712e-013	3/29/2016 3:23:21 PM	51.871	1.116886e-012
3/29/2016 3:23:21 PM	52.102	7.706831e-013	3/29/2016 3:23:21 PM	52.324	2.130347e-013	3/29/2016 3:23:21 PM	52.539	2.360620e-013	3/29/2016 3:23:22 PM	52.753	2.520445e-012	3/29/2016 3:23:22 PM	52.967	3.425870e-012	3/29/2016 3:23:22 PM	53.181	2.518266e-013	3/29/2016 3:23:22 PM	53.420	1.106668e-012
3/29/2016 3:23:23 PM	53.639	7.318818e-013	3/29/2016 3:23:23 PM	53.854	1.974827e-013	3/29/2016 3:23:23 PM	54.073	2.456904e-013	3/29/2016 3:23:23 PM	54.287	2.575250e-012	3/29/2016 3:23:23 PM	54.501	3.438570e-012	3/29/2016 3:23:24 PM	54.723	2.658025e-013	3/29/2016 3:23:24 PM	54.943	1.222077e-012
3/29/2016 3:23:24 PM	55.166	6.962621e-013	3/29/2016 3:23:24 PM	55.380	2.003202e-013	3/29/2016 3:23:25 PM	55.593	2.371458e-013	3/29/2016 3:23:25 PM	55.807	2.432546e-012	3/29/2016 3:23:25 PM	56.022	3.465921e-012	3/29/2016 3:23:25 PM	56.236	2.589826e-013	3/29/2016 3:23:25 PM	56.462	1.136683e-012
3/29/2016 3:23:26 PM	56.688	7.272150e-013	3/29/2016 3:23:26 PM	56.903	1.997012e-013	3/29/2016 3:23:26 PM	57.117	2.360722e-013	3/29/2016 3:23:26 PM	57.330	2.367497e-012	3/29/2016 3:23:26 PM	57.544	3.604969e-012	3/29/2016 3:23:27 PM	57.759	2.373545e-013	3/29/2016 3:23:27 PM	57.994	1.137510e-012
3/29/2016 3:23:27 PM	58.220	7.232692e-013	3/29/2016 3:23:27 PM	58.436	1.970131e-013	3/29/2016 3:23:28 PM	58.656	2.405218e-013	3/29/2016 3:23:28 PM	58.871	2.429611e-012	3/29/2016 3:23:28 PM	59.086	3.563595e-012	3/29/2016 3:23:28 PM	59.304	2.608794e-013	3/29/2016 3:23:28 PM	59.532	1.265600e-012
3/29/2016 3:23:29 PM	59.754	6.776310e-013	3/29/2016 3:23:29 PM	59.968	2.005379e-013	3/29/2016 3:23:29 PM	60.182	2.466450e-013	3/29/2016 3:23:29 PM	60.396	2.419454e-012	3/29/2016 3:23:30 PM	60.611	3.512649e-012	3/29/2016 3:23:30 PM	60.830	2.471377e-013	3/29/2016 3:23:30 PM	61.044	1.163451e-012
3/29/2016 3:23:30 PM	61.272	6.933629e-013	3/29/2016 3:23:30 PM	61.486	2.080117e-013	3/29/2016 3:23:31 PM	61.701	2.508342e-013	3/29/2016 3:23:31 PM	61.915	2.409188e-012	3/29/2016 3:23:31 PM	62.129	3.494021e-012	3/29/2016 3:23:31 PM	62.350	2.785964e-013	3/29/2016 3:23:32 PM	62.578	1.121049e-012
3/29/2016 3:23:32 PM	62.801	7.633492e-013	3/29/2016 3:23:32 PM	63.019	2.058128e-013	3/29/2016 3:23:32 PM	63.234	2.527966e-013	3/29/2016 3:23:32 PM	63.449	2.461809e-012	3/29/2016 3:23:33 PM	63.663	3.596349e-012	3/29/2016 3:23:33 PM	63.878	2.707966e-013	3/29/2016 3:23:33 PM	64.098	1.124781e-012
3/29/2016 3:23:33 PM	64.320	7.273912e-013	3/29/2016 3:23:33 PM	64.536	2.106483e-013	3/29/2016 3:23:34 PM	64.759	2.316984e-013	3/29/2016 3:23:34 PM	64.974	2.514627e-012	3/29/2016 3:23:34 PM	65.188	3.449692e-012	3/29/2016 3:23:34 PM	65.408	2.389735e-013	3/29/2016 3:23:35 PM	65.624	1.217773e-012
3/29/2016 3:23:35 PM	65.849	7.036976e-013	3/29/2016 3:23:35 PM	66.064	2.137220e-013	3/29/2016 3:23:35 PM	66.279	2.494481e-013	3/29/2016 3:23:35 PM	66.495	2.371648e-012	3/29/2016 3:23:36 PM	66.712	3.427088e-012	3/29/2016 3:23:36 PM	66.927	2.512899e-013	3/29/2016 3:23:36 PM	67.149	1.104218e-012
3/29/2016 3:23:36 PM	67.371	6.266011e-013	3/29/2016 3:23:37 PM	67.592	2.112098e-013	3/29/2016 3:23:37 PM	67.813	2.380088e-013	3/29/2016 3:23:37 PM	68.028	2.390218e-012	3/29/2016 3:23:37 PM	68.242	3.390522e-012	3/29/2016 3:23:37 PM	68.456	2.508925e-013	3/29/2016 3:23:38 PM	68.671	1.180066e-012
