temperature	12CO	13CO
11.131984000000001	7.5271262178253E12	1.893888076313397E12
11.171057000000001	7.429322219086471E12	1.8454466647815125E12
11.127360000000001	7.643832509617425E12	1.4598307307503267E12
11.180448	7.314451527652104E12	1.207085527594568E12
11.147920000000001	7.166517699542558E12	1.5822203601403306E12
11.133704	6.348571315411425E12	1.0530569220091263E12
11.16086	5.862511401728734E12	9.379169691592972E11
11.139168	5.76388695215239E12	1.323419841005963E12
11.166156530408774	6.795510943330959E12	1.5242564453603254E12
11.159210631895686	5.371006321348746E12	1.4740641118188335E12
11.13515	6.975410495910631E12	1.7130704219342295E12
11.151076	7.043604379988623E12	1.6045222410744153E12
11.149545454545455	7.009162140038651E12	1.5764407300409163E12
11.150603603603605	5.954480643238373E12	2.061579255002406E12
11.17036	7.073596184794063E12	1.4618369527768867E12
11.137127999999999	6.451448485747892E12	1.4082251252292498E12
11.142805	5.770928984161537E12	1.3287544963841572E12
11.160244755244754	7.04149145579303E12	1.536040713880722E12
11.135826826826827	7.105441270560821E12	1.1431524026404895E12
11.1829	6.570626937693219E12	1.6469686924521904E12
11.138625	6.023218517085609E12	1.5830063126373743E12
11.134972000000001	6.744012360176655E12	1.0529497061254935E12
11.16928	6.215568157174228E12	1.6142673010851968E12
11.127128	5.640767178176459E12	1.1213191849013672E12
11.182409999999999	6.564796111178547E12	1.6752210581398062E12
11.14651948051948	5.902128960924675E12	1.2212388774404583E12
11.134840840840841	6.557769740768396E12	1.3632810284952107E12
11.159970000000001	6.319185880527923E12	1.4683577144325164E12
11.137725	5.994661191284824E12	1.2784043666304138E12
11.166055	6.919599952544355E12	1.3606416356086848E12
11.1578	5.906471002136846E12	1.2992756258741765E12
11.135897102897102	6.039095156837982E12	1.5719525994360981E12
11.152153153153153	6.321819178052284E12	1.395670275972242E12
11.148435000000001	6.049563090411211E12	1.2887831391082563E12
11.15065	6.817752965818017E12	1.023413100539682E12
11.169814	6.142425303423305E12	1.0612879139641744E12
11.136	5.164595923627546E12	1.3575408294276975E12
11.144535464535464	5.472559173393675E12	1.2947550580471426E12
11.158354354354353	6.442692062396408E12	1.4684943315815337E12
11.135352000000001	5.53673080104351E12	1.3970909235525671E12
11.183270189431704	6.04604615207574E12	1.1899203191771416E12
11.136074222668004	5.362101001776872E12	1.5324423207312043E12
11.1379	5.509500546433513E12	1.1768302206782104E12
11.166459999999999	6.084712321675993E12	1.117993389147668E12
11.126795000000001	7.609761948068502E12	1.1946957598867656E12
11.182542	5.492831581029887E12	1.596219291374571E12
11.1438	5.9236509782008E12	9.788548282211047E11
11.136584000000001	5.966011111049112E12	1.312353960748199E12
11.15938	6.2907478407799E12	1.4627654181629163E12
11.136973026973028	5.954876468010516E12	1.0414961364788385E12
11.167009009009009	6.084923660884662E12	1.2082219416017744E12
11.15612	6.024310234081455E12	1.5194629397551853E12
11.136785	5.610630751564217E12	1.3066947790580002E12
11.153789999999999	5.605891600872535E12	1.0118632168765973E12
11.14721	5.924963488343263E12	9.221446290651862E11
11.15122	5.994213204056996E12	5.437790893162463E11
11.170081	5.363906412563211E12	1.5295667776218096E12
11.13592	6.287360155194701E12	1.1882820126673638E12
11.147344	5.699327623928217E12	1.2268113445563027E12
11.1571	5.872348437280754E12	1.1752067240253667E12
11.134858999999999	5.045670871177111E12	8.611249355153586E11
11.18259	5.882160896823543E12	8.345201170360006E11
11.133574	6.207466630824677E12	1.2505444255474639E12
11.140945	5.651727177710334E12	1.069371213222869E12
11.166649	4.81529321760917E12	9.205008959323315E11
11.12658	5.68005157802379E12	1.1947139389797527E12
11.182872	6.012039740298778E12	9.868352935565504E11
11.14099	4.653077568753706E12	1.1370736406727083E12
11.139165834165834	4.821641049931468E12	1.227502861465913E12
11.159743743743745	4.3838289756927104E12	1.0282863353334807E12
11.136516	5.277638242347641E12	1.306717524479469E12
11.16723	5.4700104524997E12	1.0671486036087555E12
11.155401	4.619129150636931E12	9.778738774064635E11
11.138034965034965	5.413635329579671E12	1.4476437385219922E12
11.154276276276276	5.103924220385394E12	1.1867298655080728E12
11.14647	5.146056986434776E12	1.3735820844337793E12
11.151522	4.967451588654093E12	1.0966877847755269E12
11.16854	5.555147526516432E12	8.018550859790962E11
11.135542	5.339327416453338E12	7.25654719330399E11
11.149325000000001	4.695781008838721E12	9.050392323888596E11
11.156239	4.901561018126757E12	9.834452035369857E11
11.134868131868132	5.705810152457983E12	1.137591279311215E12
11.181394394394394	5.35133512584626E12	9.305383826673634E11
11.132105000000001	4.525529814028632E12	1.0249811950819512E12
11.144777	4.3160040018926914E12	1.1367534254969631E12
11.16479	4.3124230482201147E12	9.319424647054813E11
11.124534465534465	4.849862995013418E12	7.209432692450623E11
11.165849849849849	4.070217030993366E12	1.180109029805385E12
11.153213000000001	4.674708806664498E12	9.216370302198748E11
11.1292	5.286106890553258E12	1.0195846399840011E12
11.163856	4.746511837905027E12	8.41746466747952E11
11.139635	4.793610695444057E12	9.453538887477719E11
11.156193	4.73227773043769E12	6.110648146076752E11
11.15836	3.299996611482914E12	7.011565528007596E11
11.13495	3.5505265944466475E12	9.175391013885579E11
11.150265000000001	3.945732080795208E12	8.598222600528353E11
11.15165	4.837730578703571E12	6.7915519445154E11
11.146398601398602	4.27713285483631E12	1.3171662612860894E12
11.165972972972973	4.2113190776069E12	9.600533629873257E11
11.1412	3.851967978134931E12	6.179747682333378E11
11.13885	4.911794466458997E12	9.51062451143901E11
11.1635	4.684310752788139E12	9.038406163722635E11
11.134646	4.1597656842963477E12	9.683444805214475E11
11.173815000000001	4.733419008832049E12	1.2584260980269863E12
11.145174825174825	3.9889103341699688E12	5.499324385732968E11
11.127912912912912	4.123321215067028E12	7.60152910796987E11
11.174607607607609	3.99459776200471E12	1.0326716327229275E12
11.126805000000001	3.0903747788938853E12	1.177768356228437E12
11.174232	3.796976655530728E12	8.803643714309203E11
11.151100000000001	3.906558179848428E12	6.002110966332589E11
11.12996	3.373698320237992E12	1.0082360065805867E12
11.161485	4.63275542926744E12	7.065344920638961E11
11.138357000000001	3.1794536040007026E12	4.7716050980820026E11
11.16162	4.1137262799143647E12	7.347340067691456E11
11.15899000999001	3.6839077714617725E12	4.754158383353373E11
11.134837837837837	4.583003471106342E12	1.1432360268684373E12
11.150782	3.364785917917396E12	7.412926369534658E11
11.14997	3.00337346356785E12	6.680128791717897E11
11.148898	3.2399326547604067E12	6.342504084803488E11
11.168375	2.6098628970032363E12	5.705394107880913E11
11.139095	4.477440438424193E12	1.0469588976403539E12
11.14132	3.434492398108704E12	4.712677844613191E11
11.161643356643356	3.515663550517239E12	6.106039388773762E11
11.135051051051052	3.849601346760988E12	1.0303742777880951E12
11.178246	3.420495448449132E12	6.148421984260819E11
11.14083	3.434303801771088E12	4.9952014717219965E11
11.130806	2.8662271736926426E12	1.0363754036725641E12
11.171785	4.2699782853993037E12	5.081870132427456E11
11.126544	4.17921623659722E12	4.2737968152809564E11
11.1789	3.116069173966822E12	8.009790344149379E11
11.148363999999999	3.2115161840897812E12	1.1364501196030442E12
11.132378486055778	2.928896421567064E12	5.22803512997726E11
11.161689378757515	2.618573685770809E12	6.726640937192416E11
11.138657314629258	3.467320678542749E12	7.19749116182709E11
11.165382	3.3704058659459478E12	7.51342452081339E11
11.158325	3.023516023041197E12	9.042782097838547E11
11.134763000000001	3.2796296926280386E12	1.0642517502405756E12
11.15132	2.783847838803999E12	9.161549121642429E11
11.148816	2.585407511725721E12	7.301745048551062E11
11.150775	1.909099225304369E12	6.961557405395825E11
11.169281	3.134934964478702E12	5.478940550314369E11
11.137032967032967	3.41027363394211E12	1.0076379519777511E12
11.14225125125125	3.790308549827588E12	6.178858783724161E11
11.15972	3.701115325178912E12	4.189322507973357E11
11.134967999999999	3.5223225920305234E12	5.1130018454014935E11
11.18028	2.6426568108998267E12	6.428811300294104E11
11.138264	2.8747397636192266E12	5.0537930368888995E11
11.132755	2.53408830823815E12	5.453404210804403E11
11.169883	1.848748289035129E12	8.017415214721206E11
11.1263	2.249494705815889E12	4.373166197856232E10
11.181728000000001	3.179221931487532E12	8.51519567731619E11
11.14525	2.1552288060511777E12	5.781370122306194E11
11.133158	2.7768574114690503E12	4.0989388050446893E11
11.160120000000001	2.200447811421665E12	3.3426563661532166E11
11.136248	2.490295190926403E12	3.532107446339084E11
11.16689	2.891400550263162E12	5.480962383638138E11
11.156916	2.650589382325268E12	5.207287021975295E11
11.13586	2.3152380905500205E12	4.7737164499292096E11
11.152225999999999	2.33282168787168E12	7.806658378797179E11
11.147120879120878	2.8499377937511655E12	4.31281979416395E11
11.151717717717718	1.2098310207059915E12	7.07360398591976E11
11.16886	1.633951413257748E12	6.720577477890059E11
11.136	3.263179228266239E12	7.651112952646792E11
11.145119999999999	2.7983879776195195E12	6.458542370868441E11
11.157572	2.7524012425922153E12	2.837014181074297E11
11.13654	2.411416971334012E12	5.901578681133684E11
11.18219	3.3260966288614365E12	8.232695698311875E11
11.13519	2.4560348732430986E12	2.799517856540141E11
11.13841	1.8309915394017847E12	4.263763539973371E11
11.167	1.7686478725605398E12	5.932244250819657E11
11.125153846153845	2.6552909966195405E12	2.9772694539123694E11
11.183628628628629	2.0797273589247444E12	5.353964281228926E11
11.142008	3.107510413366309E12	7.702454698708676E11
11.13805	2.0396138645833574E12	3.19205259300679E11
11.159574000000001	2.696750010140194E12	4.415133405594407E11
11.135254999999999	2.27550993700386E12	7.877430331310668E11
11.167022	2.090260945661039E12	7.978363515400032E10
11.15428	1.97815458775501E12	4.588875515223728E11
11.137571428571428	2.6036482744515874E12	6.013550272005869E11
11.154113113113114	1.7016232337971147E12	4.9275477940224554E11
11.145489	1.8562849370584668E12	4.2577778008478326E11
11.15138	1.9319008416116965E12	6.735358389974166E11
11.167226	1.4414880804001145E12	4.972881518444577E11
11.135349999999999	1.468713896702117E12	7.11773733458749E10
11.148601	1.6317953159293542E12	3.6345059209832947E11
11.154919999999999	1.9501900065947686E12	3.2906315537313336E11
11.135672	2.241817314858057E12	9.118358664485643E11
11.180598401598402	1.943148318924173E12	8.234041586498563E11
11.132249249249249	1.1966955679191292E12	1.617145340525421E11
11.145	3.2215057426711436E12	4.4838787250962683E11
11.163917999999999	1.383792824590047E12	8.868787123731724E11
11.124844999999999	1.3066896723964324E12	4.5009208253296564E11
11.181955	1.667203463060934E12	5.595214054241878E10
11.13898	8.776814832465536E11	3.586219247245473E11
11.143180000000001	2.222138300756797E12	3.639089749392952E11
11.1613	1.2586569645519573E12	2.3824869422215717E11
11.135916083916085	1.8187473045754167E12	5.676418794319825E11
11.168198198198198	2.1922730702086948E12	5.479856170225336E11
11.153924	2.01187067272868E12	7.635957003503074E11
11.142925	1.731169967110469E12	2.2851807188233356E11
11.159958999999999	1.4951125823762993E12	2.4400427397766714E11
11.14832	1.586549668780226E12	2.2241970169904803E11
11.156376	1.9281817098347349E12	1.1453696892546225E11
